centrality,chi2/ndf,C,C_err,T_GeV,T_err_GeV,n,n_err,dN/dy,dN/dy_err,low_yield_frac_%,low_yield_frac_err_%,measured_frac_%,high_yield_frac_%,<pT>_GeV/c,<pT>_err_GeV/c
0-5%,188.1941609324356,78.4169694338423,0.382592199710783,0.5158853741389408,0.001684607156364648,50.39323121119886,1.674134748891671,60.89768460394685,0.2346091071812529,5.5376581966307254,0.03407067477077234,94.46234180116105,2.208241963649696e-09,1.3112418968876438,0.007351200367547705
5-10%,179.5071427083761,65.64630387235161,0.2635078306768263,0.5178441812799902,0.0015373781328930636,51.61119469967544,1.587090352787996,51.20176744797113,0.16496969840535478,5.5146229287599855,0.028066361483308957,94.48537706920915,2.0308642716659864e-09,1.3139873698104187,0.006316772901704363
10-20%,250.41091661795713,52.307302009332226,0.18133062765141852,0.4901791974644884,0.001393850362740423,32.08627383995408,0.5709172267330977,38.66595894606432,0.111691301028553,5.804084522441441,0.025864003073762694,94.1959154503394,2.7219165609096148e-08,1.287847795489703,0.005689266870161476
20-30%,162.55114068103487,39.11729268901299,0.16494602361090277,0.49069884669195807,0.0015013899727976676,34.84419392255046,0.7611505919695176,28.82976547852455,0.0896891391641869,5.821675747096257,0.03008760763047741,94.17832423900464,1.3899115562210583e-08,1.28253191748255,0.005854197336914432
30-40%,148.461446698183,29.788219236551658,0.14038357683694913,0.4503470993741955,0.0015095102060134202,22.42916008845075,0.3387040742906109,20.116731020889553,0.06919723782069215,6.326790397153721,0.03636750550353079,93.67320940292623,1.9992004314560674e-07,1.2377853552851166,0.006184340178056145
40-50%,88.4721146956308,21.911518580112464,0.12482111813326725,0.40549712407246047,0.0014890334368952707,16.63585046757555,0.19681595635877436,13.226884439006232,0.05685814632529074,7.038231269934661,0.04954502668127664,92.96176754070312,1.189362226251689e-06,1.1775249398383894,0.007222563168955898
50-60%,41.174271180280364,15.306269108956123,0.11003165009653038,0.3661639034704061,0.0017166040916389846,13.28374714831475,0.14811476730534157,8.299367231890766,0.0404639425112625,7.788323196930916,0.0663671416119795,92.21167173200726,5.07106182084072e-06,1.1235839234971643,0.007736145248016995
60-70%,14.800377140681773,9.874030545197385,0.11086062048557976,0.31862717856756384,0.0022764420740077618,10.883264031142396,0.13358758212673028,4.603010784230026,0.03405376688473951,8.97522459468019,0.11798240869011366,91.02475979018215,1.5615137682221458e-05,1.0468808883710399,0.010881905495144856
70-80%,4.2907293948350755,5.519144684223626,0.07756707751949253,0.28714505148583214,0.002622700485254731,9.791126690929989,0.13286569476234256,2.293048096601134,0.01971816596302179,9.992338740771345,0.16000830931208487,90.00763565255451,2.5606674139916706e-05,0.9894702298006663,0.01189335381401571
80-90%,2.0135453374468524,2.5489146754743337,0.04942883868274071,0.25630963078650065,0.0033172578361254645,9.05016166635018,0.1622920129160983,0.9307834446330446,0.010313944762408293,11.261908480968122,0.24275568980443407,88.73806054208589,3.097694598989702e-05,0.925512254438336,0.014243497761019172
